  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 214   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 215   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 216   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 217   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 218   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 219   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 220   25    2    0.00   0.00     0      0    0      0      0     0     0.00
 221   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 222   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 223   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 224   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 225   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 226    3    0   50.00  50.00     2      4    4      0      3     1    33.33
 227   21    2    0.00   0.00     0      0    0      0      0     0     0.00
 228    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 229   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 230   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 231   32    2    0.00   0.00     0      0    0      0      0     0     0.00
 232   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 233   31    2    0.00   0.00     0      0    0      0      0     0     0.00
 234   23    2    0.00   0.00     0      0    0      0      0     0     0.00
 235   27    2    0.00   0.00     0      0    0      0      0     0     0.00
 236   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 237   28    2    0.00   0.00     0      0    0      0      0     0     0.00
 238   23    2    0.00   0.00     0      0    0      0      0     0     0.00
 239    9    0   40.00  40.00     4     10   10      1      9     3    33.33
 240   24    2    0.00   0.00     0      0    0      0      0     0     0.00
 241   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 242   27    2    0.00   0.00     0      0    0      0      0     0     0.00
 243    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 244   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 245   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 246   28    2    0.00   0.00     0      0    0      0      0     0     0.00
 247   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 248    8    2    0.00   0.00     0      0    0      0      0     0     0.00
 249   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 250   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 251   23    2    0.00   0.00     0      0    0      0      0     0     0.00
 252   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 253   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 254   27    2    0.00   0.00     0      0    0      0      0     0     0.00
 255   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 256   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 257   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 258   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 259   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 260   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 261    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 262   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 263   13    2    0.00   0.00     0      0    0      0      0     0     0.00
 264    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 265   25    2    0.00   0.00     0      0    0      0      0     0     0.00
 266   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 267   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 268   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 269   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 270   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 271   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 272   21    2    0.00   0.00     0      0    0      0      0     0     0.00
 273   31    2    0.00   0.00     0      0    0      0      0     0     0.00
 274    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 275   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 276    7    2    0.00   0.00     0      0    0      0      0     0     0.00
 277   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 278   25    2    0.00   0.00     0      0    0      0      0     0     0.00
 279   24    2    0.00   0.00     0      0    0      0      0     0     0.00
 280    7    2    0.00   0.00     0      0    0      0      0     0     0.00
 281   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 282   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 283    7    2    0.00   0.00     0      0    0      0      0     0     0.00
 284   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 285   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 286   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 287   28    2    0.00   0.00     0      0    0      0      0     0     0.00
 288    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 289   21    2    0.00   0.00     0      0    0      0      0     0     0.00
 290   21    2    0.00   0.00     0      0    0      0      0     0     0.00
 291   26    2    0.00   0.00     0      0    0      0      0     0     0.00
 292   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 293    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 294   23    2    0.00   0.00     0      0    0      0      0     0     0.00
 295   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 296    8    2    0.00   0.00     0      0    0      0      0     0     0.00
 297    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 298    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 299   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 300   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 301   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 302   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 303    8    2    0.00   0.00     0      0    0      0      0     0     0.00
 304   21    2    0.00   0.00     0      0    0      0      0     0     0.00
 305    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 306   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 307   13    2    0.00   0.00     0      0    0      0      0     0     0.00
 308   13    2    0.00   0.00     0      0    0      0      0     0     0.00
 309    7    2    0.00   0.00     0      0    0      0      0     0     0.00
 310   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 311    8    2    0.00   0.00     0      0    0      0      0     0     0.00
 312    5    2    0.00   0.00     0      0    0      0      0     0     0.00
 313   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 314   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 315   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 316   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 317   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 318    9    2    0.00   0.00     0      0    0      0      0     0     0.00
