  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
  55   22    2    0.00   0.00     0      0    0      0      0     0     0.00
  56    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  57   15    0   31.25  31.25     5     16   16      6     15     9    60.00
  58    8    2    0.00   0.00     0      0    0      0      0     0     0.00
  59   17    2    0.00   0.00     0      0    0      0      0     0     0.00
  60   15    0   18.75  18.75     3     16   16      6     15    11    73.33
  61   17    2    0.00   0.00     0      0    0      0      0     0     0.00
  62    5    0   33.33  33.33     2      6    6      1      5     5   100.00
  63    8    2    0.00   0.00     0      0    0      0      0     0     0.00
  64    7    2    0.00   0.00     0      0    0      0      0     0     0.00
  65   12    0   38.46  38.46     5     13   13      6     12    10    83.33
  66   15    0   31.25  31.25     5     16   16      5     15     8    53.33
  67   11    0   41.67  41.67     5     12   12      3     11     9    81.82
  68   12    0   23.08  23.08     3     13   13      3     12     8    66.67
  69    5    0   33.33  33.33     2      6    6      1      5     4    80.00
  70   15    0   31.25  31.25     5     16   16     10     15     9    60.00
  71   18    2    0.00   0.00     0      0    0      0      0     0     0.00
  72   14    0   33.33  33.33     5     15   15      6     14     9    64.29
  73    4    0   40.00  50.00     2      5    4      1      4     3    75.00
  74    4    2    0.00   0.00     0      0    0      0      0     0     0.00
  75   11    0   41.67  41.67     5     12   12      4     11     7    63.64
  76   19    2    0.00   0.00     0      0    0      0      0     0     0.00
  77   14    0   46.67  46.67     7     15   15      5     14    12    85.71
  78   41    0   26.19  26.83    11     42   41     17     41    27    65.85
  79   16    0   29.41  29.41     5     17   17      9     16     8    50.00
  80    8    0   44.44  44.44     4      9    9      4      8     6    75.00
  81   25    2    0.00   0.00     0      0    0      0      0     0     0.00
  82    2    0   66.67  66.67     2      3    3      0      2     1    50.00
  83   18    0   26.32  26.32     5     19   19      4     18    10    55.56
